Lon, Lat, Population
175.860306, -38.230904, 0.000000
174.580566, -39.610958, 12.000000
170.484573, -45.865803, 3.000000
172.467712, -43.549740, 18.000000
170.824966, -44.095264, 21.000000
170.500092, -45.868855, 21.000000
175.845261, -40.452065, 18.000000
174.739716, -36.695164, 36.000000
174.096741, -39.426735, 15.000000
174.899200, -36.891270, 87.000000
174.806992, -36.924297, 0.000000
172.617416, -43.554382, 36.000000
176.257645, -37.694504, 33.000000
172.692230, -43.503830, 15.000000
174.616913, -36.818943, 21.000000
175.867157, -38.213543, 0.000000
172.450714, -43.100185, 0.000000
174.782547, -36.848927, 36.000000
174.755951, -41.286915, 24.000000
172.576157, -43.514538, 24.000000
174.875473, -41.222591, 6.000000
174.848175, -41.107903, 15.000000
170.192154, -45.927959, 24.000000
175.290070, -37.800518, 18.000000
175.678680, -37.383022, 12.000000
174.621262, -36.857712, 45.000000
174.738358, -36.855507, 27.000000
175.477921, -37.909611, 30.000000
176.144180, -37.674881, 27.000000
175.075302, -37.922413, 3.000000
175.037598, -41.110706, 36.000000
174.688950, -36.919708, 24.000000
174.766663, -36.859406, 0.000000
175.905853, -38.646088, 3.000000
175.774414, -37.825611, 12.000000
174.435760, -36.660351, 36.000000
172.549332, -43.503365, 45.000000
176.119614, -37.729092, 54.000000
176.847138, -39.632462, 57.000000
174.757812, -36.633087, 60.000000
172.698242, -42.969482, 27.000000
174.304993, -39.427578, 15.000000
174.703903, -36.556824, 9.000000
170.533218, -45.838913, 36.000000
172.048553, -43.899464, 33.000000
175.651459, -40.013763, 18.000000
169.396790, -45.165195, 54.000000
174.988480, -40.882694, 12.000000
174.978836, -37.150112, 54.000000
174.877945, -41.087929, 39.000000
176.855987, -39.532558, 39.000000
174.828140, -41.137009, 6.000000
168.021500, -46.340347, 6.000000
175.395798, -39.160252, 3.000000
176.125671, -37.742764, 0.000000
174.848984, -36.970909, 36.000000
174.859558, -36.972336, 42.000000
174.736084, -36.730103, 30.000000
171.177856, -42.493019, 36.000000
172.195511, -43.293987, 72.000000
170.851578, -45.067863, 18.000000
168.351318, -46.375290, 6.000000
175.024979, -36.880150, 51.000000
171.244827, -44.399490, 27.000000
175.765152, -37.816044, 21.000000
172.740097, -43.546051, 0.000000
172.571289, -43.584339, 15.000000
176.204544, -40.357162, 12.000000
177.997131, -38.662037, 27.000000
174.846527, -41.110115, 9.000000
174.841736, -41.111584, 18.000000
174.780151, -36.864441, 6.000000
176.348312, -37.718216, 18.000000
170.521912, -45.902859, 36.000000
174.860733, -37.023071, 36.000000
174.300705, -35.729080, 15.000000
170.511993, -45.870346, 6.000000
174.881867, -37.037521, 45.000000
174.846970, -36.941181, 96.000000
175.122314, -37.413273, 3.000000
172.561676, -43.495434, 75.000000
174.915543, -36.945980, 48.000000
175.885925, -38.278858, 3.000000
174.632950, -36.915165, 48.000000
174.750763, -36.901669, 36.000000
175.575790, -37.246517, 9.000000
174.840103, -36.440060, 21.000000
174.801590, -36.898109, 36.000000
172.608749, -43.451218, 0.000000
174.786072, -36.919533, 81.000000
171.212707, -44.388401, 15.000000
176.840271, -39.632786, 51.000000
172.696060, -43.401718, 12.000000
168.344849, -46.368595, 18.000000
176.180633, -37.745441, 54.000000
172.636398, -43.500149, 30.000000
176.864624, -39.528423, 12.000000
174.614624, -36.862267, 21.000000
174.831833, -41.150532, 18.000000
174.855102, -36.936283, 30.000000
176.185867, -37.712479, 36.000000
174.050644, -39.067795, 15.000000
174.696045, -36.798050, 39.000000
174.596374, -36.855549, 39.000000
170.505554, -45.851952, 27.000000
168.949219, -46.095886, 0.000000
176.130112, -37.707085, 33.000000
168.310806, -45.824684, 6.000000
176.862854, -39.707508, 21.000000
176.314896, -37.707569, 51.000000
174.718765, -36.768085, 75.000000
174.782730, -41.258461, 0.000000
168.634155, -45.039623, 15.000000
174.772720, -36.848457, 15.000000
175.112854, -39.924957, 6.000000
175.715485, -37.546837, 15.000000
174.626633, -36.903854, 78.000000
173.834900, -35.302971, 24.000000
174.029266, -41.425304, 36.000000
171.240738, -44.391850, 21.000000
169.111801, -44.697781, 6.000000
174.702194, -36.883064, 15.000000
174.908005, -41.244167, 0.000000
174.848938, -41.110592, 48.000000
173.975891, -35.213306, 15.000000
174.977112, -40.941334, 24.000000
174.736999, -36.871479, 48.000000
174.885803, -37.801781, 30.000000
174.957519, -37.173161, 15.000000
171.650085, -43.632389, 12.000000
174.643738, -39.780174, 3.000000
175.707733, -37.529690, 36.000000
176.182220, -40.848427, 3.000000
174.726166, -36.885609, 3.000000
174.732849, -36.905266, 30.000000
169.843399, -46.298676, 3.000000
172.528641, -41.744541, 18.000000
175.571899, -39.934463, 9.000000
172.611969, -43.515450, 15.000000
175.402557, -39.223995, 0.000000
174.851074, -36.943565, 15.000000
175.466721, -36.759808, 39.000000
174.885895, -36.963390, 33.000000
173.997513, -39.350658, 3.000000
176.275391, -37.700924, 24.000000
174.860825, -36.900040, 30.000000
174.616043, -36.900192, 60.000000
172.652786, -43.575550, 15.000000
172.571579, -43.491718, 15.000000
175.033600, -41.141193, 6.000000
176.840210, -39.639912, 0.000000
174.607071, -36.623215, 21.000000
175.145966, -40.756889, 33.000000
177.681107, -37.858765, 39.000000
174.197479, -35.909096, 27.000000
174.733795, -36.916725, 39.000000
173.223099, -41.309505, 24.000000
174.223251, -39.001560, 24.000000
175.389404, -38.989857, 3.000000
174.776993, -41.289177, 0.000000
172.662659, -43.527573, 21.000000
174.896118, -37.101162, 45.000000
174.761566, -36.863033, 42.000000
175.870865, -37.203350, 33.000000
170.645065, -45.755394, 9.000000
176.831299, -39.632427, 24.000000
174.747147, -36.862549, 33.000000
174.817642, -41.312038, 24.000000
174.947479, -41.254066, 12.000000
172.577621, -43.324314, 9.000000
175.066467, -39.936935, 24.000000
175.656448, -40.964996, 15.000000
170.476944, -45.861382, 54.000000
174.759628, -41.289135, 15.000000
174.883255, -41.219135, 15.000000
172.632202, -43.373535, 0.000000
174.083603, -36.280998, 12.000000
172.621033, -43.571770, 0.000000
175.243805, -37.748310, 21.000000
175.216370, -37.811218, 6.000000
174.837204, -36.972630, 45.000000
174.941666, -37.031879, 15.000000
173.833695, -41.438019, 51.000000
175.292541, -37.801350, 33.000000
174.924179, -41.027241, 15.000000
174.912445, -37.063324, 0.000000
175.000137, -40.921902, 0.000000
174.902542, -37.199192, 12.000000
170.474167, -45.903721, 21.000000
169.258499, -44.681515, 117.000000
174.439407, -36.822166, 12.000000
170.360046, -45.877712, 15.000000
